timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday,utilization_pct,cost_per_unit,buffer_capacity,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,capacity_utilization,over_provisioned_flag,high_stress_flag
2023-05-03,Europe-North,Compute,10110.0,11886,513.25,99.95,0,85.05805148914689,0.0507665677546983,1776.0,2023,5,2,2,0,18,12425.0,13577.0,12578.0,10409.857142857143,2095.260320228445,0.8505805148914689,0,0
2023-05-04,Europe-North,Compute,9825.0,8929,484.7173636634741,99.94,0,110.03471833352,0.0493351006273256,-896.0,2023,5,2,3,0,18,10110.0,7507.0,12845.0,10741.0,1707.2679930227698,1.1003471833351999,0,1
2023-05-05,Europe-North,Compute,9540.0,11031,563.53,99.71,0,86.48354636932282,0.0590702306079664,1491.0,2023,5,2,4,0,18,9825.0,12332.0,8380.0,10342.142857142857,1596.1461324673478,0.8648354636932282,0,0
2023-05-06,Europe-North,Compute,11655.0,14738,539.71,99.73,0,79.08128647034876,0.0463071643071643,3083.0,2023,5,2,5,1,18,9540.0,8456.0,8459.0,10799.142857142857,1413.6366139112527,0.7908128647034876,0,0
2023-05-07,Europe-North,Compute,9317.0,11969,446.75,99.86,0,77.84276046453338,0.0479499839003971,2652.0,2023,5,2,6,1,18,11655.0,9360.0,7878.0,10793.0,1421.006802704804,0.7784276046453338,0,0
2023-05-08,Europe-North,Compute,7327.0,9035,353.05,99.72,0,81.09573879358052,0.0481847959601474,1708.0,2023,5,2,0,0,19,9317.0,12679.0,7491.0,10028.42857142857,1657.293763654354,0.8109573879358052,0,0
2023-05-09,Europe-North,Compute,10421.0,11941,620.31,99.75,0,87.2707478435642,0.0595249976009979,1520.0,2023,5,2,1,0,19,7327.0,12425.0,7850.0,9742.142857142857,1311.2701766571492,0.8727074784356419,0,0
2023-05-10,Europe-North,Compute,7789.0,10279,435.45,99.98,0,75.77585368226481,0.0559057645397355,2490.0,2023,5,2,2,0,19,10421.0,10110.0,14153.0,9410.57142857143,1484.7248743053194,0.7577585368226482,0,0
2023-05-11,Europe-North,Compute,7968.0,9307,365.82,99.88,0,85.6129794778124,0.0459111445783132,1339.0,2023,5,2,3,0,19,7789.0,9825.0,11557.5,9145.285714285714,1562.2138899956149,0.856129794778124,0,0
2023-05-12,Europe-North,Compute,8169.0,9597,398.59,99.88,0,85.12035010940919,0.0487929979189619,1428.0,2023,5,2,4,0,19,7968.0,9540.0,8962.0,8949.42857142857,1590.1723027335574,0.8512035010940919,0,0
2023-05-13,Europe-North,Compute,11285.0,13631,524.67,99.79,0,82.78923043063605,0.0464926894107221,2346.0,2023,5,2,5,1,19,8169.0,11655.0,8220.0,8896.57142857143,1488.1256507368403,0.8278923043063605,0,0
2023-05-14,Europe-North,Compute,11730.0,15743,677.98,99.88,0,74.50930572317856,0.0577988064791133,4013.0,2023,5,2,6,1,19,11285.0,9317.0,12081.0,9241.285714285714,1839.695148141461,0.7450930572317855,1,0
2023-05-15,Europe-North,Compute,7838.0,10018,383.15,99.75,0,78.23916949490916,0.0488836437866802,2180.0,2023,5,2,0,0,20,11730.0,7327.0,9820.0,9314.285714285714,1759.464285351813,0.7823916949490917,0,0
2023-05-16,Europe-North,Compute,9752.0,11748,515.63,99.95,0,83.00987402110998,0.0528742821985233,1996.0,2023,5,2,1,0,20,7838.0,10421.0,14957.0,9218.714285714286,1706.7086955390382,0.8300987402110998,0,0
2023-05-17,Europe-North,Compute,10973.0,12404,554.5,99.83,0,88.46339890357949,0.0505331267656976,1431.0,2023,5,2,2,0,20,9752.0,7789.0,8907.0,9673.57142857143,1686.3321990978773,0.8846339890357949,0,0
2023-05-18,Europe-North,Compute,11103.0,13825,659.17,99.87,0,80.31103074141048,0.0593686391065477,2722.0,2023,5,2,3,0,20,10973.0,7968.0,12378.0,10121.42857142857,1570.167597969811,0.8031103074141048,0,0
2023-05-19,Europe-North,Compute,12503.0,16652,742.17,99.84,0,75.0840739851069,0.0593593537550987,4149.0,2023,5,2,4,0,20,11103.0,8169.0,9090.0,10740.57142857143,1525.8384424246742,0.7508407398510689,0,0
